productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
45129,Flareon (3),Flareon 3,https://tcgplayer-cdn.tcgplayer.com/product/45129_200w.jpg,3,635,https://cpt.tcgcsv.com/C3n,2025-12-10T22:14:48.867,1,03/64,Holo Rare,Fire,70,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[2RR] Flamethrower (60)
<br>Discard 1 Fire Energy card attached to Flareon in order to use this attack.",W,,1,107.89,199.99,390.26,130.47,,1st Edition Holofoil,
45129,Flareon (3),Flareon 3,https://tcgplayer-cdn.tcgplayer.com/product/45129_200w.jpg,3,635,https://cpt.tcgcsv.com/C3n,2025-12-10T22:14:48.867,1,03/64,Holo Rare,Fire,70,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[2RR] Flamethrower (60)
<br>Discard 1 Fire Energy card attached to Flareon in order to use this attack.",W,,1,45.01,80.98,9999.0,75.08,,Unlimited Holofoil,
45130,Jolteon (4),Jolteon 4,https://tcgplayer-cdn.tcgplayer.com/product/45130_200w.jpg,3,635,https://cpt.tcgcsv.com/D3n,2025-12-29T16:14:35.553,1,04/64,Holo Rare,Lightning,70,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[1LL] Pin Missile (20x)
<br>Flip 4 coins. This attack does 20 damage times the number of heads.",F,,1,149.99,212.38,299.99,163.37,,1st Edition Holofoil,
45130,Jolteon (4),Jolteon 4,https://tcgplayer-cdn.tcgplayer.com/product/45130_200w.jpg,3,635,https://cpt.tcgcsv.com/D3n,2025-12-29T16:14:35.553,1,04/64,Holo Rare,Lightning,70,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[1LL] Pin Missile (20x)
<br>Flip 4 coins. This attack does 20 damage times the number of heads.",F,,1,40.71,80.31,121.99,80.12,,Unlimited Holofoil,
45131,Kangaskhan (5),Kangaskhan 5,https://tcgplayer-cdn.tcgplayer.com/product/45131_200w.jpg,3,635,https://cpt.tcgcsv.com/F3n,2025-12-10T22:16:02.94,1,05/64,Holo Rare,Colorless,90,Basic,"[1] Fetch
<br>Draw a card.","[4] Comet Punch (20x)
<br>Flip 4 coins. This attack does 20 damage times the number of heads.",F,P-30,3,17.54,37.72,83.65,75.89,,1st Edition Holofoil,
45131,Kangaskhan (5),Kangaskhan 5,https://tcgplayer-cdn.tcgplayer.com/product/45131_200w.jpg,3,635,https://cpt.tcgcsv.com/F3n,2025-12-10T22:16:02.94,1,05/64,Holo Rare,Colorless,90,Basic,"[1] Fetch
<br>Draw a card.","[4] Comet Punch (20x)
<br>Flip 4 coins. This attack does 20 damage times the number of heads.",F,P-30,3,6.65,11.7,45.0,11.44,,Unlimited Holofoil,
45132,Mr. Mime (6),Mr Mime 6,https://tcgplayer-cdn.tcgplayer.com/product/45132_200w.jpg,3,635,https://cpt.tcgcsv.com/G3n,2025-12-10T22:16:53.213,1,06/64,Holo Rare,Psychic,40,Basic,"[1P] Meditate (10+)
<br>Does 10 damage plus 10 more damage for each damage counter on the Defending Pokémon.",,P,,,40.13,69.5,150.0,80.09,,1st Edition Holofoil,"<strong>Pokémon Power: Invisible Wall</strong> Whenever an attack <em>(including your own)</em> does 30 or more damage to Mr. Mime <em>(after applying Weakness and Resistance)</em>, prevent that damage. <em>(Any other effects of attacks still happen.)</em> This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed."
45132,Mr. Mime (6),Mr Mime 6,https://tcgplayer-cdn.tcgplayer.com/product/45132_200w.jpg,3,635,https://cpt.tcgcsv.com/G3n,2025-12-10T22:16:53.213,1,06/64,Holo Rare,Psychic,40,Basic,"[1P] Meditate (10+)
<br>Does 10 damage plus 10 more damage for each damage counter on the Defending Pokémon.",,P,,,14.0,26.3,71.25,27.63,,Unlimited Holofoil,"<strong>Pokémon Power: Invisible Wall</strong> Whenever an attack <em>(including your own)</em> does 30 or more damage to Mr. Mime <em>(after applying Weakness and Resistance)</em>, prevent that damage. <em>(Any other effects of attacks still happen.)</em> This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed."
45133,Nidoqueen (7),Nidoqueen 7,https://tcgplayer-cdn.tcgplayer.com/product/45133_200w.jpg,3,635,https://cpt.tcgcsv.com/H3n,2025-12-10T22:17:24.35,1,07/64,Holo Rare,Grass,90,Stage 2,"[1G] Boyfriends (20+)
<br>Does 20 damage plus 20 more damage for each Nidoking you have in play.",[2GG] Mega Punch (50),P,,3,45.39,60.37,999.98,95.2,,1st Edition Holofoil,
45133,Nidoqueen (7),Nidoqueen 7,https://tcgplayer-cdn.tcgplayer.com/product/45133_200w.jpg,3,635,https://cpt.tcgcsv.com/H3n,2025-12-10T22:17:24.35,1,07/64,Holo Rare,Grass,90,Stage 2,"[1G] Boyfriends (20+)
<br>Does 20 damage plus 20 more damage for each Nidoking you have in play.",[2GG] Mega Punch (50),P,,3,9.99,21.86,49.95,28.29,,Unlimited Holofoil,
45134,Pidgeot (8),Pidgeot 8,https://tcgplayer-cdn.tcgplayer.com/product/45134_200w.jpg,3,635,https://cpt.tcgcsv.com/J3n,2025-12-29T16:18:45.597,1,08/64,Holo Rare,Colorless,80,Stage 2,[2] Wing Attack (20),"[3] Hurricane (30)
<br>Unless this attack Knocks Out the Defending Pokémon, return the Defending Pokémon and all cards attached to it to your opponent's hand.",L,F-30,,71.22,80.1,145.21,127.89,,1st Edition Holofoil,
45134,Pidgeot (8),Pidgeot 8,https://tcgplayer-cdn.tcgplayer.com/product/45134_200w.jpg,3,635,https://cpt.tcgcsv.com/J3n,2025-12-29T16:18:45.597,1,08/64,Holo Rare,Colorless,80,Stage 2,[2] Wing Attack (20),"[3] Hurricane (30)
<br>Unless this attack Knocks Out the Defending Pokémon, return the Defending Pokémon and all cards attached to it to your opponent's hand.",L,F-30,,19.99,29.99,139.43,43.36,139.43,Unlimited Holofoil,
45135,Pinsir (9),Pinsir 9,https://tcgplayer-cdn.tcgplayer.com/product/45135_200w.jpg,3,635,https://cpt.tcgcsv.com/K3n,2025-12-10T22:18:35.83,1,09/64,Holo Rare,Grass,60,Basic,"[GG] Irongrip (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",[2GG] Guillotine (50),R,,1,68.69,74.55,114.99,83.63,,1st Edition Holofoil,
45135,Pinsir (9),Pinsir 9,https://tcgplayer-cdn.tcgplayer.com/product/45135_200w.jpg,3,635,https://cpt.tcgcsv.com/K3n,2025-12-10T22:18:35.83,1,09/64,Holo Rare,Grass,60,Basic,"[GG] Irongrip (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",[2GG] Guillotine (50),R,,1,16.0,23.35,45.0,28.14,,Unlimited Holofoil,
45136,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/45136_200w.jpg,3,635,https://cpt.tcgcsv.com/L3n,2026-01-29T16:03:11.333,1,33/64,Uncommon,Grass,70,Stage 2,"[2] Whirlwind (20)
<br>If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. <em>(Do the damage before switching Pokémon.)</em>","[GGGG] Mega Drain (40)
<br>Remove a number of damage counters from Butterfree equal to half the damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em> (rounded up to the nearest 10).",R,F-30,,4.0,7.96,49.97,8.55,,1st Edition,
45136,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/45136_200w.jpg,3,635,https://cpt.tcgcsv.com/L3n,2026-01-29T16:03:11.333,1,33/64,Uncommon,Grass,70,Stage 2,"[2] Whirlwind (20)
<br>If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. <em>(Do the damage before switching Pokémon.)</em>","[GGGG] Mega Drain (40)
<br>Remove a number of damage counters from Butterfree equal to half the damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em> (rounded up to the nearest 10).",R,F-30,,0.25,0.94,30.0,1.15,0.55,Unlimited,
45137,Dodrio,Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/45137_200w.jpg,3,635,https://cpt.tcgcsv.com/M3n,2025-12-29T16:59:12.52,1,34/64,Uncommon,Colorless,70,Stage 1,"[3] Rage (10+)
<br>Does 10 damage plus 10 more damage for each damage counter on Dodrio.",,L,F-30,,1.0,1.75,14.99,3.31,,1st Edition,"<strong>Pokémon Power: Retreat Aid</strong> As long as Dodrio is Benched, pay 1 Colorless less to retreat your Active Pokémon."
45137,Dodrio,Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/45137_200w.jpg,3,635,https://cpt.tcgcsv.com/M3n,2025-12-29T16:59:12.52,1,34/64,Uncommon,Colorless,70,Stage 1,"[3] Rage (10+)
<br>Does 10 damage plus 10 more damage for each damage counter on Dodrio.",,L,F-30,,0.2,0.74,8.99,0.86,0.97,Unlimited,"<strong>Pokémon Power: Retreat Aid</strong> As long as Dodrio is Benched, pay 1 Colorless less to retreat your Active Pokémon."
45138,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/45138_200w.jpg,3,635,https://cpt.tcgcsv.com/N3n,2026-01-29T15:58:01.083,1,35/64,Uncommon,Grass,80,Stage 1,"[P] Teleport
<br>Switch Exeggutor with 1 of your Benched Pokémon.","[1] Big Eggsplosion (20x)
<br>Flip a number of coins equal to the number of Energy attached to Exeggutor. This attack does 20 damage times the number of heads.",R,,3,1.69,3.15,97.8,3.61,4.62,1st Edition,
45138,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/45138_200w.jpg,3,635,https://cpt.tcgcsv.com/N3n,2026-01-29T15:58:01.083,1,35/64,Uncommon,Grass,80,Stage 1,"[P] Teleport
<br>Switch Exeggutor with 1 of your Benched Pokémon.","[1] Big Eggsplosion (20x)
<br>Flip a number of coins equal to the number of Energy attached to Exeggutor. This attack does 20 damage times the number of heads.",R,,3,0.19,0.9,70.0,1.38,0.8,Unlimited,
45139,Fearow,Fearow,https://tcgplayer-cdn.tcgplayer.com/product/45139_200w.jpg,3,635,https://cpt.tcgcsv.com/P3n,2026-01-29T16:02:42.43,1,36/64,Uncommon,Colorless,70,Stage 1,"[3] Agility (20)
<br> Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Fearow.",[4] Drill Peck (40),L,F-30,,1.07,1.75,8.46,2.74,,1st Edition,
45139,Fearow,Fearow,https://tcgplayer-cdn.tcgplayer.com/product/45139_200w.jpg,3,635,https://cpt.tcgcsv.com/P3n,2026-01-29T16:02:42.43,1,36/64,Uncommon,Colorless,70,Stage 1,"[3] Agility (20)
<br> Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Fearow.",[4] Drill Peck (40),L,F-30,,0.18,0.51,8.99,0.83,0.34,Unlimited,
45140,Gloom,Gloom,https://tcgplayer-cdn.tcgplayer.com/product/45140_200w.jpg,3,635,https://cpt.tcgcsv.com/Q3n,2025-11-26T05:03:54.857,1,37/64,Uncommon,Grass,60,Stage 1,"[G] Poisonpowder
<br>The Defending Pokémon is now Poisoned.","[GG] Foul Oder (20)
<br>Both the Defending Pokémon and Gloom are now Confused <em>(after doing damage)</em>.",R,,1,0.88,1.99,19.99,3.43,,1st Edition,
45140,Gloom,Gloom,https://tcgplayer-cdn.tcgplayer.com/product/45140_200w.jpg,3,635,https://cpt.tcgcsv.com/Q3n,2025-11-26T05:03:54.857,1,37/64,Uncommon,Grass,60,Stage 1,"[G] Poisonpowder
<br>The Defending Pokémon is now Poisoned.","[GG] Foul Oder (20)
<br>Both the Defending Pokémon and Gloom are now Confused <em>(after doing damage)</em>.",R,,1,0.23,0.5,5.0,0.61,,Unlimited,
45141,Lickitung,Lickitung,https://tcgplayer-cdn.tcgplayer.com/product/45141_200w.jpg,3,635,https://cpt.tcgcsv.com/R3n,2026-01-29T15:59:49.257,1,38/64,Uncommon,Colorless,90,Basic,"[1] Tongue Wrap (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","[2] Supersonic
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",F,P-30,3,1.0,4.13,24.99,6.8,24.99,1st Edition,
45141,Lickitung,Lickitung,https://tcgplayer-cdn.tcgplayer.com/product/45141_200w.jpg,3,635,https://cpt.tcgcsv.com/R3n,2026-01-29T15:59:49.257,1,38/64,Uncommon,Colorless,90,Basic,"[1] Tongue Wrap (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","[2] Supersonic
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",F,P-30,3,0.25,0.75,4.99,1.15,0.4,Unlimited,
45142,Marowak,Marowak,https://tcgplayer-cdn.tcgplayer.com/product/45142_200w.jpg,3,635,https://cpt.tcgcsv.com/S3n,2025-11-26T05:05:46.39,1,39/64,Uncommon,Fighting,60,Stage 1,"[FF] Bonemerang (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.","[1FF] Call for Friend
<br>Search your deck for a Fighting Basic Pokémon and put it onto your Bench. Shuffle your deck afterward. <em>(You can't use this attack if your Bench is full.)</em>",G,L-30,1,1.06,4.06,97.99,8.53,17.06,1st Edition,
45142,Marowak,Marowak,https://tcgplayer-cdn.tcgplayer.com/product/45142_200w.jpg,3,635,https://cpt.tcgcsv.com/S3n,2025-11-26T05:05:46.39,1,39/64,Uncommon,Fighting,60,Stage 1,"[FF] Bonemerang (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.","[1FF] Call for Friend
<br>Search your deck for a Fighting Basic Pokémon and put it onto your Bench. Shuffle your deck afterward. <em>(You can't use this attack if your Bench is full.)</em>",G,L-30,1,0.35,0.76,30515.32,1.02,,Unlimited,
45143,Nidorina,Nidorina,https://tcgplayer-cdn.tcgplayer.com/product/45143_200w.jpg,3,635,https://cpt.tcgcsv.com/T3n,2023-09-03T05:32:57.853,1,40/64,Uncommon,Grass,70,Stage 1,"[G] Supersonic
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.","[2G] Double Kick (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.",P,,1,0.89,1.58,26.47,2.68,,1st Edition,
45143,Nidorina,Nidorina,https://tcgplayer-cdn.tcgplayer.com/product/45143_200w.jpg,3,635,https://cpt.tcgcsv.com/T3n,2023-09-03T05:32:57.853,1,40/64,Uncommon,Grass,70,Stage 1,"[G] Supersonic
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.","[2G] Double Kick (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.",P,,1,0.17,0.42,4.99,0.4,,Unlimited,
45144,Parasect,Parasect,https://tcgplayer-cdn.tcgplayer.com/product/45144_200w.jpg,3,635,https://cpt.tcgcsv.com/V3n,2026-01-29T16:00:52.96,1,41/64,Uncommon,Grass,60,Stage 1,"[GG] Spore
<br>The Defending Pokémon is now Asleep.",[3] Slash (30),R,,,0.6,1.5,12.99,3.0,3.37,1st Edition,
45144,Parasect,Parasect,https://tcgplayer-cdn.tcgplayer.com/product/45144_200w.jpg,3,635,https://cpt.tcgcsv.com/V3n,2026-01-29T16:00:52.96,1,41/64,Uncommon,Grass,60,Stage 1,"[GG] Spore
<br>The Defending Pokémon is now Asleep.",[3] Slash (30),R,,,0.2,0.59,31279.42,0.79,0.39,Unlimited,
45145,Persian,Persian,https://tcgplayer-cdn.tcgplayer.com/product/45145_200w.jpg,3,635,https://cpt.tcgcsv.com/W3n,2025-11-26T05:18:11.067,1,42/64,Uncommon,Colorless,70,Stage 1,[2] Scratch (20),"[3] Pounce (30)
<br>If the Defending Pokémon attacks Persian during your opponent's next turn, any damage done by the attack is reduced by 10 <em>(after applying Weakness and Resistance)</em>. <em>(Benching either Pokemon ends this effect.)</em>",F,P-30,,1.57,1.95,14.99,4.29,,1st Edition,
45145,Persian,Persian,https://tcgplayer-cdn.tcgplayer.com/product/45145_200w.jpg,3,635,https://cpt.tcgcsv.com/W3n,2025-11-26T05:18:11.067,1,42/64,Uncommon,Colorless,70,Stage 1,[2] Scratch (20),"[3] Pounce (30)
<br>If the Defending Pokémon attacks Persian during your opponent's next turn, any damage done by the attack is reduced by 10 <em>(after applying Weakness and Resistance)</em>. <em>(Benching either Pokemon ends this effect.)</em>",F,P-30,,0.23,0.63,999.0,0.7,0.3,Unlimited,
45146,Primeape,Primeape,https://tcgplayer-cdn.tcgplayer.com/product/45146_200w.jpg,3,635,https://cpt.tcgcsv.com/X3n,2026-01-29T16:02:10.003,1,43/64,Uncommon,Fighting,70,Stage 1,"[FF] Fury Swipes (20x)
<br>Flip 3 coins. This attack does 20 damage times the number of heads.","[1FF] Tantrum (50)
<br>Flip a coin. If tails, Primeape is now Confused <em>(after doing damage)</em>.",P,,1,1.26,3.32,29.99,5.21,1.69,1st Edition,
45146,Primeape,Primeape,https://tcgplayer-cdn.tcgplayer.com/product/45146_200w.jpg,3,635,https://cpt.tcgcsv.com/X3n,2026-01-29T16:02:10.003,1,43/64,Uncommon,Fighting,70,Stage 1,"[FF] Fury Swipes (20x)
<br>Flip 3 coins. This attack does 20 damage times the number of heads.","[1FF] Tantrum (50)
<br>Flip a coin. If tails, Primeape is now Confused <em>(after doing damage)</em>.",P,,1,0.27,0.71,28368.45,1.28,0.5,Unlimited,
