productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRetreatCost,extCardText
83743,Bayleef (28),Bayleef 28,https://tcgplayer-cdn.tcgplayer.com/product/83743_200w.jpg,3,1396,https://cpt.tcgcsv.com/TvH,2024-02-02T11:02:28.477,1,028/111,Uncommon,Grass,70,Stage 1,"[1G] Poisonpowder (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.","[1GG] Pollen Shield (30)
<br>During your opponent's next turn, Bayleef can't become Asleep, Confused, Paralyzed, or Poisoned. <em>(All other effects of attacks, Pokémon Powers, and Trainer cards still happen.)</em>",R,,3.23,8.25,99.99,7.21,14.49,1st Edition,,
83743,Bayleef (28),Bayleef 28,https://tcgplayer-cdn.tcgplayer.com/product/83743_200w.jpg,3,1396,https://cpt.tcgcsv.com/TvH,2024-02-02T11:02:28.477,1,028/111,Uncommon,Grass,70,Stage 1,"[1G] Poisonpowder (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.","[1GG] Pollen Shield (30)
<br>During your opponent's next turn, Bayleef can't become Asleep, Confused, Paralyzed, or Poisoned. <em>(All other effects of attacks, Pokémon Powers, and Trainer cards still happen.)</em>",R,,1.69,2.98,6.1,3.09,,Unlimited,,
83744,Bayleef (29),Bayleef 29,https://tcgplayer-cdn.tcgplayer.com/product/83744_200w.jpg,3,1396,https://cpt.tcgcsv.com/VvH,2025-11-25T22:34:18.103,1,029/111,Uncommon,Grass,80,Stage 1,"[G] Sweet Scent
<br>Flip a coin. If heads and if any of your Pokémon have any damage counters on them, then remove 2 damage counters from 1 of them (or 1 if it only has 1). If tails and if any of your opponent's Pokémon have any damage counters on them, choose 1 of them and remove 2 damage counters from it (or 1 if it only has 1).","[GGG] Double Razor Leaf (40x)
<br>Flip 2 coins. This attack does 40 damage times the number of heads.",R,,2.17,4.0,9.99,4.29,,1st Edition,2,
83744,Bayleef (29),Bayleef 29,https://tcgplayer-cdn.tcgplayer.com/product/83744_200w.jpg,3,1396,https://cpt.tcgcsv.com/VvH,2025-11-25T22:34:18.103,1,029/111,Uncommon,Grass,80,Stage 1,"[G] Sweet Scent
<br>Flip a coin. If heads and if any of your Pokémon have any damage counters on them, then remove 2 damage counters from 1 of them (or 1 if it only has 1). If tails and if any of your opponent's Pokémon have any damage counters on them, choose 1 of them and remove 2 damage counters from it (or 1 if it only has 1).","[GGG] Double Razor Leaf (40x)
<br>Flip 2 coins. This attack does 40 damage times the number of heads.",R,,1.0,1.99,50.0,2.33,,Unlimited,2,
83795,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83795_200w.jpg,3,1396,https://cpt.tcgcsv.com/WwH,2025-11-11T07:03:57.397,1,003/111,Holo Rare,Grass,70,Stage 2,"[G] Sweet Nectar
<br>Flip a coin. If heads, remove all damage counters from 1 of your Pokémon.","[1GG] Flower Dance (30x)
<br>Does 30 damage times the number of cards with Bellossom in their names that you have in play <em>(including this one)</em>.",R,,41.97,57.0,65.99,51.04,,1st Edition Holofoil,2,
83795,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83795_200w.jpg,3,1396,https://cpt.tcgcsv.com/WwH,2025-11-11T07:03:57.397,1,003/111,Holo Rare,Grass,70,Stage 2,"[G] Sweet Nectar
<br>Flip a coin. If heads, remove all damage counters from 1 of your Pokémon.","[1GG] Flower Dance (30x)
<br>Does 30 damage times the number of cards with Bellossom in their names that you have in play <em>(including this one)</em>.",R,,14.2,20.88,55.95,20.72,,Unlimited Holofoil,2,
83812,Berry,Berry,https://tcgplayer-cdn.tcgplayer.com/product/83812_200w.jpg,3,1396,https://cpt.tcgcsv.com/gxH,2025-02-05T21:05:28.75,1,099/111,Common,Tool,,,,,,,0.24,0.66,4.99,0.66,,1st Edition,,"Attach Berry to 1 of your Pokémon that doesn't have a Pokémon Tool attached to it.
<br>
At any time between turns, if there are at least 2 damage counters on the Pokémon Berry is attached to, you may remove 2 of them and discard Berry. At the start of each turn, if there are at least 2 damage counters on the Pokémon Berry is attached to, remove 2 of them and discard Berry."
83812,Berry,Berry,https://tcgplayer-cdn.tcgplayer.com/product/83812_200w.jpg,3,1396,https://cpt.tcgcsv.com/gxH,2025-02-05T21:05:28.75,1,099/111,Common,Tool,,,,,,,0.05,0.3,2.5,0.3,0.3,Unlimited,,"Attach Berry to 1 of your Pokémon that doesn't have a Pokémon Tool attached to it.
<br>
At any time between turns, if there are at least 2 damage counters on the Pokémon Berry is attached to, you may remove 2 of them and discard Berry. At the start of each turn, if there are at least 2 damage counters on the Pokémon Berry is attached to, remove 2 of them and discard Berry."
83841,Bill's Teleporter,Bills Teleporter,https://tcgplayer-cdn.tcgplayer.com/product/83841_200w.jpg,3,1396,https://cpt.tcgcsv.com/RxH,2025-02-05T21:05:28.797,1,091/111,Uncommon,Item,,,,,,,0.41,1.0,4.99,1.07,,1st Edition,,"Flip a coin. If heads, draw 4 cards."
83841,Bill's Teleporter,Bills Teleporter,https://tcgplayer-cdn.tcgplayer.com/product/83841_200w.jpg,3,1396,https://cpt.tcgcsv.com/RxH,2025-02-05T21:05:28.797,1,091/111,Uncommon,Item,,,,,,,0.15,0.44,501.5,0.45,,Unlimited,,"Flip a coin. If heads, draw 4 cards."
84098,Card-Flip Game (Goldenrod Game Corner),Card Flip Game Goldenrod Game Corner,https://tcgplayer-cdn.tcgplayer.com/product/84098_200w.jpg,3,1396,https://cpt.tcgcsv.com/-FH,2025-10-30T02:28:01.917,1,092/111,Uncommon,Item,,,,,,,0.75,1.33,3.99,1.55,,1st Edition,,"Choose 1 of your opponent's face-down Prizes. Guess whether it is an Energy card, a Trainer card, or a Pokémon (Basic or Evolution) card. Flip the card face up <em>(and leave it face up)</em>. If you guessed right, draw 2 cards."
84098,Card-Flip Game (Goldenrod Game Corner),Card Flip Game Goldenrod Game Corner,https://tcgplayer-cdn.tcgplayer.com/product/84098_200w.jpg,3,1396,https://cpt.tcgcsv.com/-FH,2025-10-30T02:28:01.917,1,092/111,Uncommon,Item,,,,,,,0.46,0.75,2.99,0.82,,Unlimited,,"Choose 1 of your opponent's face-down Prizes. Guess whether it is an Energy card, a Trainer card, or a Pokémon (Basic or Evolution) card. Flip the card face up <em>(and leave it face up)</em>. If you guessed right, draw 2 cards."
84272,Chikorita (53),Chikorita 53,https://tcgplayer-cdn.tcgplayer.com/product/84272_200w.jpg,3,1396,https://cpt.tcgcsv.com/sKH,2025-02-03T11:42:14.92,1,053/111,Common,Grass,40,Basic,[1] Tackle (10),"[G] Deflector
<br>During your opponent's next turn, whenever Chikorita takes damage, divide that damage in half (rounded down to the nearest 10). <em>(Any other effects still happen.)</em>",R,,1.75,3.49,29.99,4.67,,1st Edition,1,
84272,Chikorita (53),Chikorita 53,https://tcgplayer-cdn.tcgplayer.com/product/84272_200w.jpg,3,1396,https://cpt.tcgcsv.com/sKH,2025-02-03T11:42:14.92,1,053/111,Common,Grass,40,Basic,[1] Tackle (10),"[G] Deflector
<br>During your opponent's next turn, whenever Chikorita takes damage, divide that damage in half (rounded down to the nearest 10). <em>(Any other effects still happen.)</em>",R,,0.44,1.0,19.99,0.94,,Unlimited,1,
84273,Chikorita (54),Chikorita 54,https://tcgplayer-cdn.tcgplayer.com/product/84273_200w.jpg,3,1396,https://cpt.tcgcsv.com/tKH,2025-11-25T22:35:06.267,1,054/111,Common,Grass,50,Basic,"[1] Growl
<br>If the Defending Pokémon attacks Chikorita during your opponent's next turn, any damage done to Chikorita is reduced by 10 <em>(before applying Weakness and Resistance)</em>. <em>(Benching or evolving either Pokemon ends this effect.)</em>",[1G] Razor Leaf (20),R,,2.75,4.07,29.99,4.07,,1st Edition,1,
84273,Chikorita (54),Chikorita 54,https://tcgplayer-cdn.tcgplayer.com/product/84273_200w.jpg,3,1396,https://cpt.tcgcsv.com/tKH,2025-11-25T22:35:06.267,1,054/111,Common,Grass,50,Basic,"[1] Growl
<br>If the Defending Pokémon attacks Chikorita during your opponent's next turn, any damage done to Chikorita is reduced by 10 <em>(before applying Weakness and Resistance)</em>. <em>(Benching or evolving either Pokemon ends this effect.)</em>",[1G] Razor Leaf (20),R,,0.27,0.91,29.99,1.86,0.27,Unlimited,1,
84300,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84300_200w.jpg,3,1396,https://cpt.tcgcsv.com/0LH,2025-11-25T22:36:51.343,1,055/111,Common,Lightning,50,Basic,"[L] Supersonic
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.","[W] Flail (10x)
<br>Does 10 damage times the number of damage counters on Chinchou.",F,,0.59,1.53,7.99,1.56,,1st Edition,1,
84300,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84300_200w.jpg,3,1396,https://cpt.tcgcsv.com/0LH,2025-11-25T22:36:51.343,1,055/111,Common,Lightning,50,Basic,"[L] Supersonic
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.","[W] Flail (10x)
<br>Does 10 damage times the number of damage counters on Chinchou.",F,,0.2,0.42,12.99,0.43,,Unlimited,1,
84352,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/84352_200w.jpg,3,1396,https://cpt.tcgcsv.com/3MH,2023-06-09T14:35:32.86,1,030/111,Uncommon,Colorless,50,Basic,"[2] Doubleslap (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.","[3] Squaredance
<br>Flip a number of coins equal to the total number of Pokémon in play. For each heads, you may search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",F,P-30,3.99,5.99,19.99,4.99,,1st Edition,1,
84352,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/84352_200w.jpg,3,1396,https://cpt.tcgcsv.com/3MH,2023-06-09T14:35:32.86,1,030/111,Uncommon,Colorless,50,Basic,"[2] Doubleslap (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.","[3] Squaredance
<br>Flip a number of coins equal to the total number of Pokémon in play. For each heads, you may search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",F,P-30,1.23,2.08,4.99,2.48,,Unlimited,1,
84362,Cleffa,Cleffa,https://tcgplayer-cdn.tcgplayer.com/product/84362_200w.jpg,3,1396,https://cpt.tcgcsv.com/gMH,2023-02-10T20:01:10.84,1,020/111,Rare,Colorless,30,Basic,"[1] Eeeeeeek
<br>Shuffle your hand into your deck, then draw 7 cards.",,,,18.37,30.25,55.0,16.29,,1st Edition,,"<em>If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.</em>"
84362,Cleffa,Cleffa,https://tcgplayer-cdn.tcgplayer.com/product/84362_200w.jpg,3,1396,https://cpt.tcgcsv.com/gMH,2023-02-10T20:01:10.84,1,020/111,Rare,Colorless,30,Basic,"[1] Eeeeeeek
<br>Shuffle your hand into your deck, then draw 7 cards.",,,,9.0,13.16,24.99,11.13,,Unlimited,,"<em>If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.</em>"
84495,Croconaw (31),Croconaw 31,https://tcgplayer-cdn.tcgplayer.com/product/84495_200w.jpg,3,1396,https://cpt.tcgcsv.com/WPH,2026-01-15T12:40:24.593,1,031/111,Uncommon,Water,70,Stage 1,"[1] Screech
<br>Until the end of your next turn, if an attack damages the Defending Pokémon <em>(after applying Weakness and Resistance)</em>, that attack does 20 more damage to the Defending Pokémon.","[1WW] Jaw Clamp (30)
<br>Until the end of your opponent's next turn, as long as Croconaw is your Active Pokémon, the Defending Pokémon can't retreat, and if the effect of an attack, Pokémon Power, or Trainer card would change that player's Active Pokémon, that part of the effect does nothing.",G,,3.44,5.55,49.99,5.14,4.79,1st Edition,2,
84495,Croconaw (31),Croconaw 31,https://tcgplayer-cdn.tcgplayer.com/product/84495_200w.jpg,3,1396,https://cpt.tcgcsv.com/WPH,2026-01-15T12:40:24.593,1,031/111,Uncommon,Water,70,Stage 1,"[1] Screech
<br>Until the end of your next turn, if an attack damages the Defending Pokémon <em>(after applying Weakness and Resistance)</em>, that attack does 20 more damage to the Defending Pokémon.","[1WW] Jaw Clamp (30)
<br>Until the end of your opponent's next turn, as long as Croconaw is your Active Pokémon, the Defending Pokémon can't retreat, and if the effect of an attack, Pokémon Power, or Trainer card would change that player's Active Pokémon, that part of the effect does nothing.",G,,0.64,2.0,29.99,2.2,29.98,Unlimited,2,
84496,Croconaw (32),Croconaw 32,https://tcgplayer-cdn.tcgplayer.com/product/84496_200w.jpg,3,1396,https://cpt.tcgcsv.com/XPH,2026-01-15T12:41:04.227,1,032/111,Uncommon,Water,80,Stage 1,[2] Tackle (20),"[1WW] Sweep Away (50)
<br>Discard the top 3 cards from your deck.",G,,2.2,3.5,12.5,4.32,,1st Edition,2,
84496,Croconaw (32),Croconaw 32,https://tcgplayer-cdn.tcgplayer.com/product/84496_200w.jpg,3,1396,https://cpt.tcgcsv.com/XPH,2026-01-15T12:41:04.227,1,032/111,Uncommon,Water,80,Stage 1,[2] Tackle (20),"[1WW] Sweep Away (50)
<br>Discard the top 3 cards from your deck.",G,,0.44,0.99,3.09,1.21,2.27,Unlimited,2,
84543,Cyndaquil (56),Cyndaquil 56,https://tcgplayer-cdn.tcgplayer.com/product/84543_200w.jpg,3,1396,https://cpt.tcgcsv.com/TQH,2025-11-25T22:40:38.263,1,056/111,Common,Fire,40,Basic,"[1] Leer
<br>Flip a coin. If heads, the Defending Pokémon can't attack Cyndaquil during your opponent's next turn. <em>(Benching or evolving either Pokémon ends this effect.)</em>","[1R] Swift (20)
<br>This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.",W,,11.69,19.99,94.95,13.31,76.26,1st Edition,1,
84543,Cyndaquil (56),Cyndaquil 56,https://tcgplayer-cdn.tcgplayer.com/product/84543_200w.jpg,3,1396,https://cpt.tcgcsv.com/TQH,2025-11-25T22:40:38.263,1,056/111,Common,Fire,40,Basic,"[1] Leer
<br>Flip a coin. If heads, the Defending Pokémon can't attack Cyndaquil during your opponent's next turn. <em>(Benching or evolving either Pokémon ends this effect.)</em>","[1R] Swift (20)
<br>This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.",W,,0.25,1.0,9.99,1.75,,Unlimited,1,
84544,Cyndaquil (57),Cyndaquil 57,https://tcgplayer-cdn.tcgplayer.com/product/84544_200w.jpg,3,1396,https://cpt.tcgcsv.com/VQH,2025-11-25T22:41:35.783,1,057/111,Common,Fire,50,Basic,"[R] Fireworks (20)
<br>Flip a coin. If tails, discard 1 Energy card attached to Cyndaquil.","[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",W,,5.0,16.51,49.99,9.1,14.99,1st Edition,1,
84544,Cyndaquil (57),Cyndaquil 57,https://tcgplayer-cdn.tcgplayer.com/product/84544_200w.jpg,3,1396,https://cpt.tcgcsv.com/VQH,2025-11-25T22:41:35.783,1,057/111,Common,Fire,50,Basic,"[R] Fireworks (20)
<br>Flip a coin. If tails, discard 1 Energy card attached to Cyndaquil.","[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",W,,0.2,0.77,2.34,1.56,,Unlimited,1,
84695,Darkness Energy,Darkness Energy,https://tcgplayer-cdn.tcgplayer.com/product/84695_200w.jpg,3,1396,https://cpt.tcgcsv.com/WTH,2025-11-25T23:04:12.5,1,104/111,Rare,Special Energy,,,,,,,6.09,7.61,13.49,7.25,,1st Edition,,"If the Pokémon Darkness Energy is attached to damages the Defending Pokémon <em>(after applying Weakness and Resistance)</em>, the attack does 10 more damage to the Defending Pokémon. At the end of every turn, put 1 damage counter on the Pokémon Darkness Energy is attached to, unless it's Darkness or has Dark in its name. Darkness Energy provides Darkness Energy. <em>(Doesn't count as a basic Energy card.)</em>"
84695,Darkness Energy,Darkness Energy,https://tcgplayer-cdn.tcgplayer.com/product/84695_200w.jpg,3,1396,https://cpt.tcgcsv.com/WTH,2025-11-25T23:04:12.5,1,104/111,Rare,Special Energy,,,,,,,3.0,4.0,29.99,5.23,,Unlimited,,"If the Pokémon Darkness Energy is attached to damages the Defending Pokémon <em>(after applying Weakness and Resistance)</em>, the attack does 10 more damage to the Defending Pokémon. At the end of every turn, put 1 damage counter on the Pokémon Darkness Energy is attached to, unless it's Darkness or has Dark in its name. Darkness Energy provides Darkness Energy. <em>(Doesn't count as a basic Energy card.)</em>"
84872,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84872_200w.jpg,3,1396,https://cpt.tcgcsv.com/sZH,2023-06-26T10:00:24.657,1,021/111,Rare,Fighting,70,Stage 1,"[F] Flail (10x)
<br>Does 10 damage times the number of damage counters on Donphan.","[FFF] Rapid Spin (50)
<br>If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon. <em>(Do the damage before switching the Pokémon.)</em>",G,L-30,4.0,5.11,24.99,5.13,24.99,1st Edition,3,
84872,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84872_200w.jpg,3,1396,https://cpt.tcgcsv.com/sZH,2023-06-26T10:00:24.657,1,021/111,Rare,Fighting,70,Stage 1,"[F] Flail (10x)
<br>Does 10 damage times the number of damage counters on Donphan.","[FFF] Rapid Spin (50)
<br>If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon. <em>(Do the damage before switching the Pokémon.)</em>",G,L-30,2.0,3.32,29.99,4.24,,Unlimited,3,
84891,Double Gust,Double Gust,https://tcgplayer-cdn.tcgplayer.com/product/84891_200w.jpg,3,1396,https://cpt.tcgcsv.com/RZH,2025-11-25T22:42:52.023,1,100/111,Common,Trainer,,,,,,,0.87,1.71,29.99,1.82,2.91,1st Edition,,"If you have any Benched Pokémon, your opponent chooses 1 of them and switches it with your Active Pokémon. Then, if your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon."
84891,Double Gust,Double Gust,https://tcgplayer-cdn.tcgplayer.com/product/84891_200w.jpg,3,1396,https://cpt.tcgcsv.com/RZH,2025-11-25T22:42:52.023,1,100/111,Common,Trainer,,,,,,,0.34,1.09,501.5,1.59,,Unlimited,,"If you have any Benched Pokémon, your opponent chooses 1 of them and switches it with your Active Pokémon. Then, if your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon."
85066,Ecogym,Ecogym,https://tcgplayer-cdn.tcgplayer.com/product/85066_200w.jpg,3,1396,https://cpt.tcgcsv.com/l2J,2025-11-25T22:44:59.773,1,084/111,Rare,Stadium,,,,,,,2.49,3.5,10.97,4.01,,1st Edition,,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.
<br>
Whenever an attack, Pokémon Power, or Trainer card discards another player's non-Colorless Energy card from a Pokémon, return that Energy card to its owner's hand. <em>(Energy cards that are discarded when that Pokémon is Knocked Out don't count.)</em>"
85066,Ecogym,Ecogym,https://tcgplayer-cdn.tcgplayer.com/product/85066_200w.jpg,3,1396,https://cpt.tcgcsv.com/l2J,2025-11-25T22:44:59.773,1,084/111,Rare,Stadium,,,,,,,1.75,2.5,7.14,2.81,,Unlimited,,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.
<br>
Whenever an attack, Pokémon Power, or Trainer card discards another player's non-Colorless Energy card from a Pokémon, return that Energy card to its owner's hand. <em>(Energy cards that are discarded when that Pokémon is Knocked Out don't count.)</em>"
85109,Electabuzz,Electabuzz,https://tcgplayer-cdn.tcgplayer.com/product/85109_200w.jpg,3,1396,https://cpt.tcgcsv.com/c3J,2026-01-15T12:42:12.583,1,033/111,Uncommon,Lightning,70,Basic,[2] Punch (20),"[LLL] Swift (30)
<br>This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.",F,,1.35,2.94,39.99,2.76,,1st Edition,1,
85109,Electabuzz,Electabuzz,https://tcgplayer-cdn.tcgplayer.com/product/85109_200w.jpg,3,1396,https://cpt.tcgcsv.com/c3J,2026-01-15T12:42:12.583,1,033/111,Uncommon,Lightning,70,Basic,[2] Punch (20),"[LLL] Swift (30)
<br>This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.",F,,0.25,0.93,6.99,0.98,,Unlimited,1,
85168,Elekid,Elekid,https://tcgplayer-cdn.tcgplayer.com/product/85168_200w.jpg,3,1396,https://cpt.tcgcsv.com/n5J,2024-12-20T20:09:04.97,1,022/111,Rare,Lightning,30,Baby,,,,,6.6,11.28,39.99,14.56,,1st Edition,,"<strong>Pokémon Power: Playful Punch</strong> Once during your turn <em>(before your attack)</em>, you may flip a coin. If heads, do 20 damage to your opponent's Active Pokémon. <em>(Apply Weakness and Resistance.)</em> Either way, this ends your turn. This power can't be used if Elekid is Asleep, Confused, or Paralyzed.
<br><br>
<em>If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.</em>"
85168,Elekid,Elekid,https://tcgplayer-cdn.tcgplayer.com/product/85168_200w.jpg,3,1396,https://cpt.tcgcsv.com/n5J,2024-12-20T20:09:04.97,1,022/111,Rare,Lightning,30,Baby,,,,,1.4,2.67,23.99,3.22,,Unlimited,,"<strong>Pokémon Power: Playful Punch</strong> Once during your turn <em>(before your attack)</em>, you may flip a coin. If heads, do 20 damage to your opponent's Active Pokémon. <em>(Apply Weakness and Resistance.)</em> Either way, this ends your turn. This power can't be used if Elekid is Asleep, Confused, or Paralyzed.
<br><br>
<em>If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.</em>"
